,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
0,1,09/01/2005,2005,1,Connecticut,Buffalo,38,0,1,38,13,3,7,0,0,4,72,2,-8,28,213,774,-1,1,0
1,6,09/01/2005,2005,1,Louisiana-Monroe,Northwestern State,23,27,0,-4,0,6,4,1,2,10,54,-1,-36,-4,8,270,0,-2,18
2,8,09/01/2005,2005,1,Arizona State,Temple,63,16,1,47,9,-5,0,1,0,1,56,11,101,9,238,-4,0,0,-6
3,9,09/01/2005,2005,1,Wake Forest,Vanderbilt,20,24,0,-4,7,1,-2,1,1,-10,-78,5,60,21,128,150,1,-1,-10
4,12,09/02/2005,2005,1,Utah,Arizona,27,24,1,3,2,2,-1,0,-1,-5,-67,0,14,5,122,138,1,-2,-11
5,13,09/02/2005,2005,1,Central Michigan,Indiana,13,20,0,-7,-1,1,0,-1,0,1,-60,-3,-14,-13,58,-528,-1,-1,1
6,15,09/03/2005,2005,1,Iowa,Ball State,56,0,1,56,7,-7,2,1,1,8,107,-6,-28,13,190,70,1,0,-3
7,16,09/03/2005,2005,1,SMU,Baylor,23,28,0,-5,-6,-6,-8,2,1,-14,-92,-8,-56,-9,-45,-868,3,-2,-14
8,17,09/03/2005,2005,1,Georgia,Boise State,48,13,1,35,-1,2,1,0,-1,9,271,2,25,-2,11,262,0,-4,8
9,21,09/03/2005,2005,1,California,Sacramento State,41,3,1,38,4,-4,0,0,-1,-6,62,-1,5,9,144,-4,0,2,-9
10,24,09/03/2005,2005,1,East Carolina,Duke,24,21,1,3,-8,-4,-3,0,1,2,96,7,45,-7,-59,-266,-1,-3,-9
11,25,09/03/2005,2005,1,San Jose State,Eastern Washington,35,24,1,11,6,1,1,2,1,-2,-82,-3,-4,13,165,466,3,0,-4
12,26,09/03/2005,2005,1,Kansas,Florida Atlantic,30,19,1,11,3,0,3,-2,-1,-4,-122,-5,-21,0,131,88,-2,2,7
13,27,09/03/2005,2005,1,Kansas State,Florida International,35,21,1,14,6,2,4,-1,1,2,7,1,-5,16,164,408,-3,0,-3
14,28,09/03/2005,2005,1,Auburn,Georgia Tech,14,23,0,-9,-4,-4,-3,0,1,5,168,3,41,-16,-89,-524,1,3,8
15,31,09/03/2005,2005,1,Nebraska,Maine,25,7,1,18,3,-4,-2,1,2,-1,41,-7,-55,5,127,-216,2,1,0
16,35,09/03/2005,2005,1,Arkansas State,Missouri,17,44,0,-27,-9,-2,-7,0,-1,-14,-134,0,8,-12,-200,-88,0,0,-10
17,37,09/03/2005,2005,1,Mississippi State,Murray State,38,6,1,32,7,5,5,1,-1,3,92,0,15,11,161,322,1,-1,7
18,38,09/03/2005,2005,1,Michigan,Northern Illinois,33,17,1,16,2,9,7,1,-3,4,39,-1,-6,16,-3,618,2,-1,8
19,39,09/03/2005,2005,1,Pittsburgh,Notre Dame,21,42,0,-21,-12,-1,-6,1,1,2,-7,-4,-39,-19,-172,-332,3,0,8
20,40,09/03/2005,2005,1,Northwestern,Ohio,38,14,1,24,6,12,12,0,0,16,179,-1,-24,24,132,1084,1,0,12
21,41,09/03/2005,2005,1,Oregon State,Portland State,41,14,1,27,-4,-1,2,-1,0,13,228,6,34,-8,-49,-276,-2,-1,13
22,44,09/03/2005,2005,1,Hawai'i,USC,17,63,0,-46,-4,3,1,-2,2,13,36,0,-42,-12,-117,384,0,0,20
23,45,09/03/2005,2005,1,Arkansas,Missouri State,49,17,1,32,15,-6,2,-1,1,1,-52,2,25,12,305,-324,0,-1,-3
