Team Code,Game Code,Result,Points,Rush Att,Rush Yard,Rush TD,Pass Att,Pass Comp,Pass Yard,Pass TD,Pass Int,Pass Conv,Kickoff Ret,Kickoff Ret Yard,Kickoff Ret TD,Punt Ret,Punt Ret Yard,Punt Ret TD,Fum Ret,Fum Ret Yard,Fum Ret TD,Int Ret,Int Ret Yard,Int Ret TD,Misc Ret,Misc Ret Yard,Misc Ret TD,Field Goal Att,Field Goal Made,Off XP Kick Att,Off XP Kick Made,Off 2XP Att,Off 2XP Made,Def 2XP Att,Def 2XP Made,Safety,Points,Punt,Punt Yard,Kickoff,Kickoff Yard,Kickoff Touchback,Kickoff Out-Of-Bounds,Kickoff Onside,Fumble,Fumble Lost,Tackle Solo,Tackle Assist,Tackle For Loss,Tackle For Loss Yard,Sack,Sack Yard,QB Hurry,Fumble Forced,Pass Broken Up,Kick/Punt Blocked,1st Down Rush,1st Down Pass,1st Down Penalty,Time Of Possession,Penalty,Penalty Yard,Third Down Att,Third Down Conv,Third Down Conv %,Fourth Down Att,Fourth Down Conv,Red Zone Att,Red Zone TD,Red Zone Field Goal,Outcome
768,2.91508E+15,0,35,64,339,4,18,12,172,1,0,0,1,38,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,5,5,0,0,0,0,0,35,4,169,6,377,3,0,0,2,0,31,40,6,33,3,24,0,2,0,0,14,9,1,1967,5,47,19,11,57.89473684,3,1,6,3,0,-1
2915,2.91508E+15,0,7,45,78,1,12,6,76,0,2,0,3,59,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,7,303,2,130,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,6,2,2,1633,3,35,14,6,42.85714286,0,0,2,1,0,-1
545,817054520050924,0,41,43,221,2,24,15,307,3,1,1,1,20,0,4,46,0,0,0,0,1,9,0,0,0,0,2,2,4,3,1,1,0,0,0,41,2,81,8,512,6,0,0,2,1,31,20,4,28,1,7,0,0,6,0,10,12,3,1872,9,80,12,6,50,2,2,6,2,2,-1
817,817054520050924,0,0,31,109,0,25,8,43,0,1,0,2,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,312,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,1728,9,89,13,1,7.692307692,3,1,1,0,0,-1
732,811073220051105,0,43,41,179,1,45,32,384,4,0,0,3,86,0,2,9,0,0,0,0,1,19,0,0,0,0,3,3,5,4,0,0,0,0,0,43,3,96,9,536,0,0,0,0,0,31,48,7,24,3,15,0,1,5,0,10,14,1,2105,5,45,18,9,50,3,2,8,5,2,-1
811,811073220051105,0,13,32,146,0,30,15,133,1,1,0,9,219,0,2,3,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,13,5,173,4,239,1,0,0,2,2,36,72,5,6,0,0,0,0,3,0,8,6,1,1495,5,39,15,6,40,1,0,1,1,0,-1
721,811072120050917,0,28,63,286,3,12,4,53,1,2,0,1,15,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,28,4,144,5,298,3,0,0,3,1,33,34,8,22,2,11,0,1,3,1,17,3,3,1921,8,50,13,6,46.15384615,3,3,4,4,0,-1
811,811072120050917,0,29,33,68,2,29,19,267,1,0,0,2,30,0,2,3,0,0,0,0,2,7,0,0,0,0,4,3,3,2,0,0,0,0,0,29,3,152,7,455,6,0,0,1,1,38,52,3,12,1,9,0,3,1,0,4,11,2,1679,4,40,15,7,46.66666667,1,1,5,2,2,-1
626,811062620051119,0,34,42,214,2,29,17,211,1,2,0,4,59,0,5,13,0,0,0,0,3,49,1,0,0,0,2,2,4,4,0,0,0,0,0,34,4,136,7,398,0,0,0,4,1,57,28,7,33,2,24,0,0,9,0,10,9,3,1744,8,58,12,4,33.33333333,2,1,5,3,2,-1
811,811062620051119,0,21,28,51,3,55,37,346,0,3,0,7,146,0,1,0,0,0,0,0,2,25,0,0,0,0,0,0,3,3,0,0,0,0,0,21,6,238,4,211,0,0,0,0,0,55,12,2,6,0,0,0,3,6,0,5,13,2,1856,12,115,19,9,47.36842105,3,0,4,3,0,-1
433,811043320050924,0,14,28,162,1,29,12,120,1,3,0,5,119,0,3,35,0,0,0,0,1,10,0,0,0,0,0,0,2,2,0,0,0,0,0,14,5,189,3,139,2,0,0,1,1,44,18,5,23,2,12,0,0,6,0,6,4,0,1379,7,40,13,2,15.38461538,3,1,1,0,0,-1
811,811043320050924,0,24,43,163,1,34,17,220,2,1,1,1,0,0,2,12,0,0,0,0,3,10,0,0,0,0,2,1,2,1,1,1,0,0,0,24,6,195,5,306,0,0,0,0,0,40,10,7,27,3,16,0,1,3,1,10,8,0,2221,10,91,17,7,41.17647059,1,0,3,2,1,-1
235,811023520050903,0,32,36,91,1,34,26,320,3,0,0,1,47,0,7,23,0,0,0,0,1,0,0,0,0,0,2,2,3,2,1,0,0,0,0,32,4,178,7,430,1,0,0,3,0,34,16,7,31,4,24,2,0,5,0,11,10,2,2069,4,30,12,4,33.33333333,0,0,5,2,2,-1
811,811023520050903,0,14,27,72,1,32,14,150,1,1,0,6,145,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,14,7,273,3,194,2,0,0,1,1,56,6,7,34,4,28,0,0,2,0,5,7,2,1531,3,37,13,2,15.38461538,3,2,2,2,0,-1
156,811015620051022,0,39,42,102,0,37,20,419,4,1,0,2,29,0,2,8,0,1,20,0,2,50,1,0,0,0,3,2,5,3,0,0,0,0,0,39,7,307,8,482,3,1,0,2,0,35,32,0,22,3,17,2,3,3,0,7,13,0,2067,6,60,19,7,36.84210526,1,1,4,1,2,-1
811,811015620051022,0,31,30,155,0,39,25,312,4,2,0,4,60,0,6,100,0,0,0,0,1,0,0,0,0,0,1,1,4,4,0,0,0,0,0,31,5,203,6,355,3,0,0,3,3,50,18,0,47,2,29,1,0,6,0,10,13,2,1533,2,15,11,2,18.18181818,1,1,3,2,1,-1
539,796053920051105,0,35,47,282,3,28,13,238,2,2,0,2,28,0,4,55,0,0,0,0,2,0,0,0,0,0,1,0,5,5,0,0,0,0,0,35,4,159,6,357,0,0,0,0,0,35,38,13,70,9,64,0,0,6,0,15,8,1,1899,5,53,13,7,53.84615385,0,0,4,3,0,-1
796,796053920051105,0,14,34,-11,1,34,19,313,1,2,0,6,127,0,1,8,0,0,0,0,2,47,0,0,0,0,0,0,2,2,0,0,0,0,0,14,7,298,2,123,0,0,1,0,0,42,34,4,12,1,7,0,0,5,0,3,12,3,1701,4,35,15,3,20,4,2,3,2,0,-1
509,796050920051008,0,51,45,313,4,36,26,361,3,0,0,4,128,0,1,5,0,0,0,0,2,23,0,0,0,0,1,1,7,6,0,0,0,0,0,51,3,135,9,369,0,0,0,2,2,39,44,5,15,2,11,4,0,0,0,12,16,0,1764,10,96,12,8,66.66666667,0,0,7,5,1,-1
796,796050920051008,0,48,41,189,2,32,24,326,4,2,0,6,78,0,2,19,0,0,0,0,0,0,0,0,0,0,2,2,6,6,0,0,0,0,0,48,3,140,7,446,3,0,2,1,0,36,52,2,4,0,0,1,1,2,1,9,17,1,1836,5,29,15,9,60,1,1,6,5,1,-1
457,796045720050917,0,5,25,57,0,37,16,281,0,1,0,2,48,0,5,31,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,5,8,346,2,118,1,0,0,0,0,38,44,5,24,3,20,1,1,2,0,1,12,1,1456,12,115,16,3,18.75,2,0,1,0,0,-1
796,796045720050917,0,14,52,166,2,23,14,138,0,0,0,1,14,0,3,30,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,14,7,327,3,188,1,0,0,2,1,32,28,9,27,4,15,1,0,5,0,11,5,2,2144,8,74,17,6,35.29411765,3,1,4,2,0,-1
428,796042820051015,0,34,63,411,3,17,7,99,1,1,0,2,39,0,4,39,0,0,0,0,0,0,0,0,0,0,3,2,4,4,0,0,0,0,0,34,4,117,6,314,0,0,0,1,1,43,16,6,23,3,16,0,2,3,0,19,3,2,2115,6,65,17,7,41.17647059,3,2,4,2,1,-1
796,796042820051015,0,38,36,131,3,26,15,235,1,0,0,6,115,0,3,47,1,0,0,0,1,3,0,0,0,0,2,1,5,5,0,0,0,0,0,38,5,232,6,375,4,0,1,2,1,59,26,2,4,0,0,0,1,4,1,7,11,0,1485,5,49,14,6,42.85714286,0,0,6,3,1,-1
301,796030120051029,0,24,38,261,1,40,20,277,2,1,0,4,52,0,2,7,0,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0,0,0,0,24,5,184,4,212,2,0,1,0,0,37,44,9,25,1,5,3,0,3,0,15,12,1,1630,9,75,16,8,50,0,0,5,2,1,-1
796,796030120051029,0,41,50,239,5,23,14,225,1,0,0,2,33,0,3,46,0,0,0,0,1,0,0,0,0,0,0,0,6,5,0,0,0,0,0,41,3,142,7,424,3,0,0,0,0,38,34,8,34,4,22,6,0,5,1,14,8,1,1970,6,53,12,7,58.33333333,2,0,4,4,0,-1
277,796027720051125,0,24,17,43,0,54,33,403,3,1,0,4,77,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,24,2,75,5,193,0,0,0,2,1,51,18,5,9,0,0,3,0,0,0,5,15,3,1597,8,74,14,5,35.71428571,3,2,6,3,1,-1
796,796027720051125,0,41,53,249,3,16,12,191,2,0,0,3,57,0,0,0,0,1,0,0,1,9,0,0,0,0,2,2,5,5,0,0,0,0,0,41,1,37,8,510,4,0,0,0,0,41,12,6,43,5,39,1,1,3,0,14,9,1,2003,5,53,12,6,50,3,2,6,4,2,-1
37,796003720060102,0,10,35,99,0,33,15,137,1,1,0,3,58,0,1,10,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,10,6,274,3,193,2,1,0,1,1,43,8,3,14,3,14,4,1,4,0,7,8,4,1752,5,35,14,4,28.57142857,2,2,2,1,1,-1
796,796003720060102,0,24,42,247,1,27,15,301,2,0,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,3,1,3,3,0,0,0,0,0,24,3,136,5,304,2,0,0,2,1,41,16,9,44,4,38,0,1,5,0,11,13,0,1848,7,56,15,7,46.66666667,0,0,4,1,1,-1
388,786038820050901,0,36,30,103,1,40,26,313,3,1,0,4,81,0,5,52,0,2,75,1,1,0,0,0,0,0,2,1,4,3,1,0,0,0,0,36,4,133,7,441,3,0,0,1,1,28,58,5,22,2,11,3,4,5,0,5,17,2,1782,1,5,11,3,27.27272727,0,0,3,2,1,-1
786,786038820050901,0,24,37,155,1,35,18,204,2,1,0,4,100,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,3,0,0,0,0,0,24,6,224,5,317,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,10,11,0,1818,4,18,13,6,46.15384615,0,0,4,3,0,-1
746,774074620050903,0,31,41,188,3,25,17,252,1,2,0,4,101,0,1,3,0,0,0,0,1,0,0,0,0,0,2,1,4,4,0,0,0,0,0,31,3,113,6,388,3,0,0,4,1,45,41,7,27,3,20,0,1,1,0,10,8,2,1541,6,50,11,3,27.27272727,1,0,6,4,1,-1
774,774074620050903,0,19,37,86,0,49,33,271,0,1,0,3,62,0,1,9,0,0,0,0,2,65,1,0,0,0,4,4,1,1,0,0,0,0,0,19,3,80,6,312,0,0,0,2,1,43,24,8,35,4,28,0,2,2,0,7,13,2,2059,6,60,18,7,38.88888889,4,0,2,0,2,-1
709,774070920050910,0,56,43,254,5,39,29,358,3,1,0,4,88,0,5,31,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,56,3,78,9,457,1,0,0,2,0,37,34,10,44,3,25,3,0,8,1,16,15,0,1973,7,59,17,12,70.58823529,1,1,6,6,0,-1
774,774070920050910,0,23,30,84,1,35,20,215,1,0,0,8,113,0,1,14,1,0,0,0,1,0,0,0,0,0,3,1,3,2,0,0,0,0,0,23,7,307,5,254,0,0,0,1,0,52,26,2,10,1,9,0,1,5,1,3,12,2,1627,3,16,14,4,28.57142857,1,1,2,1,1,-1
