,game_id,date,year,week,home_team,away_team,home_score,away_score,winner,score_diff,1st Downs_diff,3rd Down Attempts_diff,3rd Down Conversions_diff,4th Down conversions_diff,Fumbles Lost_diff,Passing Completions_diff,Passing Yards_diff,Penalties_diff,Penalty Yards_diff,Rushing Attempts_diff,Rushing Yards_diff,Time of Possession_diff,4th Down Attempts_diff,Interceptions Thrown_diff,Passing Attempts_diff
0,1,09/01/2005,2005,1, Connecticut, Buffalo,38,0, Connecticut,38,13,3,7,0,0.0,4.0,72.0,2.0,-8.0,28.0,213.0,774.0,-1.0,1.0,0.0
1,6,09/01/2005,2005,1, Louisiana-Monroe, Northwestern State,23,27, Northwestern State,-4,0,6,4,1,2.0,10.0,54.0,-1.0,-36.0,-4.0,8.0,270.0,0.0,-2.0,18.0
2,8,09/01/2005,2005,1, Arizona State, Temple,63,16, Arizona State,47,9,-5,0,1,0.0,1.0,56.0,11.0,101.0,9.0,238.0,-4.0,0.0,0.0,-6.0
3,9,09/01/2005,2005,1, Wake Forest, Vanderbilt,20,24, Vanderbilt,-4,7,1,-2,1,1.0,-10.0,-78.0,5.0,60.0,21.0,128.0,150.0,1.0,-1.0,-10.0
4,12,09/02/2005,2005,1, Utah, Arizona,27,24, Utah,3,2,2,-1,0,-1.0,-5.0,-67.0,0.0,14.0,5.0,122.0,138.0,1.0,-2.0,-11.0
5,13,09/02/2005,2005,1, Central Michigan, Indiana,13,20, Indiana,-7,-1,1,0,-1,0.0,1.0,-60.0,-3.0,-14.0,-13.0,58.0,-528.0,-1.0,-1.0,1.0
6,15,09/03/2005,2005,1, Iowa, Ball State,56,0, Iowa,56,7,-7,2,1,1.0,8.0,107.0,-6.0,-28.0,13.0,190.0,70.0,1.0,0.0,-3.0
7,16,09/03/2005,2005,1, SMU, Baylor,23,28, Baylor,-5,-6,-6,-8,2,1.0,-14.0,-92.0,-8.0,-56.0,-9.0,-45.0,-868.0,3.0,-2.0,-14.0
8,17,09/03/2005,2005,1, Georgia, Boise State,48,13, Georgia,35,-1,2,1,0,-1.0,9.0,271.0,2.0,25.0,-2.0,11.0,262.0,0.0,-4.0,8.0
9,21,09/03/2005,2005,1, California, Sacramento State,41,3, California,38,4,-4,0,0,-1.0,-6.0,62.0,-1.0,5.0,9.0,144.0,-4.0,0.0,2.0,-9.0
10,24,09/03/2005,2005,1, East Carolina, Duke,24,21, East Carolina,3,-8,-4,-3,0,1.0,2.0,96.0,7.0,45.0,-7.0,-59.0,-266.0,-1.0,-3.0,-9.0
11,25,09/03/2005,2005,1, San Jose State, Eastern Washington,35,24, San Jose State,11,6,1,1,2,1.0,-2.0,-82.0,-3.0,-4.0,13.0,165.0,466.0,3.0,0.0,-4.0
12,26,09/03/2005,2005,1, Kansas, Florida Atlantic,30,19, Kansas,11,3,0,3,-2,-1.0,-4.0,-122.0,-5.0,-21.0,0.0,131.0,88.0,-2.0,2.0,7.0
13,27,09/03/2005,2005,1, Kansas State, Florida International,35,21, Kansas State,14,6,2,4,-1,1.0,2.0,7.0,1.0,-5.0,16.0,164.0,408.0,-3.0,0.0,-3.0
14,28,09/03/2005,2005,1, Auburn, Georgia Tech,14,23, Georgia Tech,-9,-4,-4,-3,0,1.0,5.0,168.0,3.0,41.0,-16.0,-89.0,-524.0,1.0,3.0,8.0
15,31,09/03/2005,2005,1, Nebraska, Maine,25,7, Nebraska,18,3,-4,-2,1,2.0,-1.0,41.0,-7.0,-55.0,5.0,127.0,-216.0,2.0,1.0,0.0
16,35,09/03/2005,2005,1, Arkansas State, Missouri,17,44, Missouri,-27,-9,-2,-7,0,-1.0,-14.0,-134.0,0.0,8.0,-12.0,-200.0,-88.0,0.0,0.0,-10.0
17,37,09/03/2005,2005,1, Mississippi State, Murray State,38,6, Mississippi State,32,7,5,5,1,-1.0,3.0,92.0,0.0,15.0,11.0,161.0,322.0,1.0,-1.0,7.0
18,38,09/03/2005,2005,1, Michigan, Northern Illinois,33,17, Michigan,16,2,9,7,1,-3.0,4.0,39.0,-1.0,-6.0,16.0,-3.0,618.0,2.0,-1.0,8.0
19,39,09/03/2005,2005,1, Pittsburgh, Notre Dame,21,42, Notre Dame,-21,-12,-1,-6,1,1.0,2.0,-7.0,-4.0,-39.0,-19.0,-172.0,-332.0,3.0,0.0,8.0
20,40,09/03/2005,2005,1, Northwestern, Ohio,38,14, Northwestern,24,6,12,12,0,0.0,16.0,179.0,-1.0,-24.0,24.0,132.0,1084.0,1.0,0.0,12.0
21,41,09/03/2005,2005,1, Oregon State, Portland State,41,14, Oregon State,27,-4,-1,2,-1,0.0,13.0,228.0,6.0,34.0,-8.0,-49.0,-276.0,-2.0,-1.0,13.0
22,44,09/03/2005,2005,1, Hawai'i, USC,17,63, USC,-46,-4,3,1,-2,2.0,13.0,36.0,0.0,-42.0,-12.0,-117.0,384.0,0.0,0.0,20.0
23,45,09/03/2005,2005,1, Arkansas, Missouri State,49,17, Arkansas,32,15,-6,2,-1,1.0,1.0,-52.0,2.0,25.0,12.0,305.0,-324.0,0.0,-1.0,-3.0
24,46,09/03/2005,2005,1, Texas, Louisiana-Lafayette,60,3, Texas,57,18,-8,1,0,1.0,-3.0,7.0,-3.0,-28.0,18.0,346.0,-158.0,-1.0,0.0,-16.0
25,47,09/03/2005,2005,1, Clemson, Texas A&M,25,24, Clemson,1,2,9,5,1,0.0,8.0,103.0,-4.0,-35.0,18.0,-65.0,956.0,0.0,-1.0,7.0
26,48,09/03/2005,2005,1, Oklahoma, TCU,10,17, TCU,-7,2,-4,-2,0,2.0,-11.0,-98.0,-6.0,-16.0,1.0,39.0,-570.0,1.0,0.0,-14.0
27,50,09/03/2005,2005,1, Air Force, Washington,20,17, Air Force,3,7,5,3,3,2.0,-6.0,-35.0,-1.0,-6.0,18.0,89.0,224.0,2.0,0.0,-5.0
28,51,09/03/2005,2005,1, Virginia, Western Michigan,31,19, Virginia,12,3,-7,-4,0,0.0,-16.0,-19.0,0.0,-10.0,4.0,102.0,-518.0,-3.0,1.0,-24.0
29,52,09/03/2005,2005,1, Florida, Wyoming,32,14, Florida,18,6,-1,2,-2,-1.0,12.0,170.0,1.0,-7.0,9.0,19.0,538.0,-3.0,-1.0,2.0
30,53,09/04/2005,2005,1, Kentucky, Louisville,24,31, Louisville,-7,-6,-5,-4,-1,3.0,-2.0,99.0,-2.0,-1.0,-19.0,-162.0,-640.0,-1.0,0.0,0.0
31,57,09/05/2005,2005,1, Memphis, Mississippi,6,10, Mississippi,-4,4,0,1,1,1.0,1.0,-58.0,-1.0,1.0,2.0,64.0,-70.0,1.0,0.0,-2.0
32,58,09/05/2005,2005,1, New Mexico, UNLV,24,22, New Mexico,2,-1,-1,-2,-1,0.0,1.0,33.0,-3.0,-20.0,10.0,-21.0,186.0,-1.0,-1.0,-2.0
33,65,09/10/2005,2005,1, Oregon State, Boise State,30,27, Oregon State,3,-1,-4,-3,1,0.0,8.0,46.0,1.0,24.0,-14.0,-66.0,-112.0,0.0,0.0,2.0
34,66,09/10/2005,2005,1, Ball State, Bowling Green,31,40, Bowling Green,-9,-1,0,-4,0,-3.0,-2.0,-121.0,3.0,49.0,-4.0,32.0,274.0,0.0,1.0,-9.0
35,67,09/10/2005,2005,1, Syracuse, Buffalo,31,0, Syracuse,31,10,-1,2,2,0.0,1.0,66.0,-2.0,4.0,26.0,298.0,142.0,3.0,-2.0,-5.0
36,68,09/10/2005,2005,1, Washington, California,17,56, California,-39,-8,3,-3,0,0.0,5.0,30.0,2.0,9.0,-12.0,-218.0,34.0,2.0,0.0,12.0
37,71,09/10/2005,2005,1, Florida State, Citadel,62,10, Florida State,52,2,-4,6,0,0.0,15.0,420.0,-1.0,33.0,0.0,118.0,-148.0,-1.0,1.0,18.0
38,75,09/10/2005,2005,1, South Florida, Florida A&M,37,3, South Florida,34,16,1,6,1,1.0,-1.0,59.0,7.0,45.0,30.0,346.0,708.0,0.0,-1.0,-2.0
39,76,09/10/2005,2005,1, Texas Tech, Florida International,56,3, Texas Tech,53,5,-11,-4,0,-2.0,10.0,304.0,6.0,52.0,-15.0,0.0,-764.0,-2.0,0.0,3.0
40,78,09/10/2005,2005,1, Kentucky, Idaho State,41,29, Kentucky,12,0,-6,-4,0,0.0,-10.0,-124.0,-4.0,-11.0,-2.0,-14.0,-380.0,0.0,-4.0,-18.0
41,82,09/10/2005,2005,1, Connecticut, Liberty,59,0, Connecticut,59,19,2,7,0,-3.0,8.0,92.0,-2.0,-11.0,34.0,347.0,864.0,0.0,-1.0,11.0
42,84,09/10/2005,2005,1, Florida, Louisiana Tech,41,3, Florida,38,9,-1,0,3,0.0,3.0,107.0,2.0,34.0,23.0,206.0,398.0,3.0,-3.0,-8.0
43,86,09/10/2005,2005,1, Oregon, Montana,47,14, Oregon,33,1,7,9,-1,1.0,11.0,226.0,-3.0,-31.0,8.0,56.0,-76.0,0.0,-2.0,17.0
44,87,09/10/2005,2005,1, Georgia Tech, North Carolina,27,21, Georgia Tech,6,0,4,3,0,0.0,7.0,73.0,1.0,8.0,7.0,61.0,360.0,0.0,-3.0,9.0
45,90,09/10/2005,2005,1, Indiana, Nicholls State,35,31, Indiana,4,-6,-3,0,-2,-2.0,15.0,256.0,2.0,29.0,-30.0,-294.0,-718.0,-2.0,2.0,25.0
46,91,09/10/2005,2005,1, Middle Tennessee, North Texas,7,14, North Texas,-7,5,0,1,2,2.0,11.0,73.0,0.0,18.0,4.0,36.0,306.0,1.0,3.0,11.0
47,93,09/10/2005,2005,1, Arizona, Northern Arizona,31,12, Arizona,19,6,-2,3,-2,0.0,4.0,122.0,0.0,13.0,8.0,46.0,380.0,-2.0,1.0,-2.0
48,94,09/10/2005,2005,1, Northwestern, Northern Illinois,38,37, Northwestern,1,2,-2,2,-3,0.0,-3.0,-63.0,-1.0,-28.0,6.0,26.0,-256.0,-2.0,-1.0,-5.0
49,95,09/10/2005,2005,1, Michigan, Notre Dame,10,17, Notre Dame,-7,-3,3,1,2,0.0,0.0,83.0,0.0,7.0,-15.0,10.0,-112.0,4.0,1.0,14.0
50,96,09/10/2005,2005,1, UCLA, Rice,63,21, UCLA,42,0,-4,3,-3,-2.0,11.0,262.0,7.0,62.0,-10.0,61.0,-54.0,-3.0,0.0,10.0
51,99,09/10/2005,2005,1, Air Force, San Diego State,41,29, Air Force,12,6,0,0,0,-1.0,-17.0,-22.0,1.0,10.0,34.0,108.0,452.0,1.0,-1.0,-32.0
52,100,09/10/2005,2005,1, Illinois, San Jose State,40,19, Illinois,21,12,0,3,0,0.0,1.0,33.0,3.0,0.0,28.0,228.0,490.0,-1.0,0.0,-1.0
53,101,09/10/2005,2005,1, Georgia, South Carolina,17,15, Georgia,2,10,-2,-1,0,0.0,-14.0,-124.0,2.0,47.0,26.0,195.0,362.0,0.0,0.0,-17.0
54,103,09/10/2005,2005,1, Alabama, Southern Mississippi,30,21, Alabama,9,6,4,3,2,1.0,6.0,140.0,-1.0,-14.0,20.0,131.0,756.0,2.0,0.0,7.0
